publication_id	pmid	compound_id	compound  chebi_id
84	17616765	267	Fats	
84	17616765	315	Energy	
84	17616765	451	Fatty acids	
85	17408529	83	alpha-Carotene	28425
85	17408529	89	beta-Carotene	17579
85	17408529	838	Lutein/Zeaxanthin	
85	17408529	86	Lycopene	15948
85	17408529	84	beta-Cryptoxanthin	10362
85	17408529	134	Vitamin C	
85	17408529	315	Energy	
85	17408529	239	Cholesterol	16113
86	17622261	267	Fats	
86	17622261	217	Linoleic acid (LA; cis-18:2n-6)	17351
86	17622261	182	alpha-Linolenic acid (ALA; cis-18:3n-3)	27432
86	17622261	224	Arachidonic acid (AA; cis-20:4n-6)	15843
86	17622261	183	EPA (cis-20:5n-3)	28364
86	17622261	215	DPA (cis-22:5n-3)	53488
86	17622261	184	DHA (cis-22:6n-3)	28125
86	17622261	286	Fatty acids, n3-polyunsaturated (n3-PUFA)	
86	17622261	433	gamma-Linolenic acid (GLA; cis-18:3n-6)	28661
86	17622261	245	Eicosadienoic acid (cis-20:2n-6)	73731
86	17622261	318	Mead acid (cis-20:3n-9)	72865
86	17622261	223	Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6)53486
86	17622261	247	Docosatetraenoic acid (DTA; cis-22:4n-6)	53487
86	17622261	451	Fatty acids	
87	17868488	315	Energy	
87	17868488	177	Fatty acids, saturated (SFA)	
87	17868488	178	Fatty acids, monounsaturated (MUFA)	
87	17868488	179	Fatty acids, polyunsaturated (PUFA)	
87	17868488	267	Fats	
87	17868488	263	Pentadecylic acid (15:0)	42504
87	17868488	264	Margaric acid (17:0)	32365
87	17868488	334	Phytanic acid	16285
87	17868488	885	Fats from Dairy foods	
87	17868488	329	Fats from Meat	
87	17868488	330	Fats from Ruminant meat	
87	17868488	331	Fats from Fish	
87	17868488	333	Fats from Dairy foods + Ruminant meat	
88	17164826	315	Energy	
88	17164826	489	Folates	
88	17164826	115	Vitamin B12	
88	17164826	159	Vitamin B6	
89	17397182	489	Folates	
89	17397182	877	Folate (Dietary Folate Equivalents)	
90	17313719	177	Fatty acids, saturated (SFA)	
90	17313719	242	Palmitic acid (16:0)	15756
90	17313719	243	Stearic acid (18:0)	28842
90	17313719	178	Fatty acids, monounsaturated (MUFA)	
90	17313719	311	Oleic acid (cis-18:1n-9)	16196
90	17313719	308	Fatty acids, trans	
90	17313719	410	Fatty acids, n6-polyunsaturated (n6-PUFA)	
90	17313719	286	Fatty acids, n3-polyunsaturated (n3-PUFA)	
90	17313719	217	Linoleic acid (LA; cis-18:2n-6)	17351
90	17313719	224	Arachidonic acid (AA; cis-20:4n-6)	15843
90	17313719	182	alpha-Linolenic acid (ALA; cis-18:3n-3)	27432
90	17313719	183	EPA (cis-20:5n-3)	28364
90	17313719	215	DPA (cis-22:5n-3)	53488
90	17313719	184	DHA (cis-22:6n-3)	28125
90	17313719	315	Energy	
90	17313719	267	Fats	
90	17313719	451	Fatty acids	
91	17521468	489	Folates	
91	17521468	336	Homocysteine	17588
91	17521468	115	Vitamin B12	
92	17349090	159	Vitamin B6	
92	17349090	189	Pyridoxal 5'-phosphate	18405
92	17349090	157	4-Pyridoxic acid	17405
92	17349090	315	Energy	
93	19622189	144	Alkylresorcinols	
93	19622189	94	Fibre from Cereals	
93	19622189	315	Energy	
93	19622189	147	5-n-Heneicosylresorcinol (C21:0)	
93	19622189	145	5-n-Heptadecylresorcinol (C17:0)	
93	19622189	146	5-n-Nonadecylresorcinol (C19:0)	
93	19622189	149	5-n-Pentacosylresorcinol (C25:0)	
93	19622189	148	5-n-Tricosylresorcinol (C23:0)	
94	17299496	183	EPA (cis-20:5n-3)	28364
94	17299496	184	DHA (cis-22:6n-3)	28125
94	17299496	451	Fatty acids	
95	16962297	177	Fatty acids, saturated (SFA)	
95	16962297	178	Fatty acids, monounsaturated (MUFA)	
95	16962297	179	Fatty acids, polyunsaturated (PUFA)	
95	16962297	308	Fatty acids, trans	
95	16962297	410	Fatty acids, n6-polyunsaturated (n6-PUFA)	
95	16962297	286	Fatty acids, n3-polyunsaturated (n3-PUFA)	
95	16962297	242	Palmitic acid (16:0)	15756
95	16962297	301	Palmitoleic acid (cis-16:1n-7)	28716
95	16962297	311	Oleic acid (cis-18:1n-9)	16196
95	16962297	217	Linoleic acid (LA; cis-18:2n-6)	17351
95	16962297	224	Arachidonic acid (AA; cis-20:4n-6)	15843
95	16962297	182	alpha-Linolenic acid (ALA; cis-18:3n-3)	27432
95	16962297	183	EPA (cis-20:5n-3)	28364
95	16962297	184	DHA (cis-22:6n-3)	28125
95	16962297	267	Fats	
